0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
0,r0
1,r1
2,r2
3,r3
4,r4
5,r5
6,r6
7,r7
8,r8
9,r9
10,r10
11,r11
12,r12
13,r13
14,r14
15,r15
16,r16
17,r17
18,r18
19,r19
20,r20
21,r21
22,r22
23,r23
24,r24
25,r25
26,r26
27,r27
28,r28
29,r29
30,r30
31,r31
0,zero
1,at
2,v0
3,v1
4,a0
5,a1
6,a2
7,a3
8,t0
9,t1
10,t2
11,t3
12,t4
13,t5
14,t6
15,t7
16,s0
17,s1
18,s2
19,s3
20,s4
21,s5
22,s6
23,s7
24,t8
25,t9
26,k0
27,k1
28,gp
29,sp
30,fp
31,ra
6,N
7,NH
8,S
9,ki
10,xpos
11,ypos
12,zpos
13,cp
14,let
15,dx
16,dy
17,templetcomp
